gender,pclass,survived
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
man,1st class,0
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,1
women,1st class,0
women,1st class,0
women,1st class,0
women,1st class,0
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
man,1st class,1
women,1st class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
man,2nd class,0
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,0
women,2nd class,0
women,2nd class,0
women,2nd class,0
women,2nd class,0
women,2nd class,0
women,2nd class,0
women,2nd class,0
women,2nd class,0
women,2nd class,0
women,2nd class,0
women,2nd class,0
women,2nd class,0
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
man,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
women,2nd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,1
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
man,3rd class,0
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,1
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
women,3rd class,0
